PubCHEM,isosmiles
906,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O
916,CC(=O)NCCCNCCCCNCCCN
923,[Na+]
931,C1=CC=C2C=CC=CC2=C1
932,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
935,[Ni]
936,C1=CC(=CN=C1)C(=O)N
938,C1=CC(=CN=C1)C(=O)O
942,CN1CCCC1C2=CN=CC=C2
943,[N+](=O)([O-])[O-]
944,[N+](=O)(O)[O-]
946,N(=O)[O-]
947,N#N
948,[N-]=[N+]=O
949,CN(C)C1=CC=CC=C1
957,CCCCCCCCO
961,[OH-]
962,O
967,C1=C(NC(=O)NC1=O)C(=O)O
970,C(C(=O)C(=O)O)C(=O)O
971,C(=O)(C(=O)O)O
977,O=O
978,C1=CC(=CC=C1C(=O)O)N
979,C1=CC(=CC=C1CC(=O)C(=O)O)O
980,C1=CC(=CC=C1[N+](=O)[O-])O
985,CCCCCCCCCCCCCCCC(=O)O
991,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-]
992,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O
995,C1=CC=C2C(=C1)C=CC3=CC=CC=C32
996,C1=CC=C(C=C1)O
997,C1=CC=C(C=C1)CC(=O)C(=O)O
999,C1=CC=C(C=C1)CC(=O)O
1004,OP(=O)(O)O
1005,C=C(C(=O)O)OP(=O)(O)O
1014,C[N+](C)(C)CCOP(=O)(O)O
1015,C(COP(=O)(O)O)N
1018,C1=CC=NC(=C1)C(=O)O
1021,C1=C(C(=C(N1)CN)CC(=O)O)CCC(=O)O
1023,OP(=O)(O)OP(=O)(O)O
1024,C1=C(C2=C(C(=O)C(=O)C3=C2NC(=C3)C(=O)O)N=C1C(=O)O)C(=O)O
1028,C1=CC(C=CC1O)(CC(=O)C(=O)O)C(=O)O
1030,CC(CO)O
1031,CCCO
1032,CCC(=O)O
1038,[H+]
1044,C1=C2C(=NC=N1)N=CN2
1045,C(CCN)CN
1046,C1=CN=C(C=N1)C(=O)N
1048,C1=CNN=C1
1050,CC1=NC=C(C(=C1O)C=O)CO
1051,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
1052,CC1=NC=C(C(=C1O)CN)CO
1054,CC1=NC=C(C(=C1O)CO)CO
1057,C1=CC(=C(C(=C1)O)O)O
1060,CC(=O)C(=O)O
1061,[O-]P(=O)([O-])[O-]
1066,C1=CC(=C(N=C1)C(=O)O)C(=O)O
1082,C(CC(=O)NC(CSCO)C(=O)NCC(=O)O)C(C(=O)O)N
1088,CNCC(=O)O
1089,O[Se](=O)(=O)O
1090,[O-][Se](=O)[O-]
1091,O[Se](=O)O
1102,C(CCNCCCN)CN
1103,C(CCNCCCN)CNCCCN
1110,C(CC(=O)O)C(=O)O
1117,[O-]S(=O)(=O)[O-]
1118,OS(=O)(=O)O
1123,C(CS(=O)(=O)O)N
1127,C1CCSC1
1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
1133,C(C(=O)O)S
1135,CC1=CNC(=O)NC1=O
1140,CC1=CC=CC=C1
1145,C[N+](C)(C)[O-]
1146,CN(C)C
1174,C1=CNC(=O)NC1=O
1175,C12=C(NC(=O)N1)NC(=O)NC2=O
1176,C(=O)(N)N
1183,COC1=C(C=CC(=C1)C=O)O
1188,C1=NC2=C(N1)C(=O)NC(=O)N2
1195,CC(=C)CCOP(=O)(O)OP(=O)(O)O
1198,C(C(C(C(=O)O)O)C(=O)O)C(=O)O
1206,CC(CC1=CC=CC=C1)NC
1221,CC1=C(C(=O)NO1)CC(C(=O)O)N
1228,C1CN(CC(N1)C(=O)O)CCCP(=O)(O)O
1234,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C(=C2)OC)OC)OC
1237,COC1=C(C=CC(=C1)C(CN)O)O
1253,CC=C1C2CC3=C(C1(CC(=C2)C)N)C=CC(=O)N3
1254,CC1CCC(C(C1)O)C(C)C
1292,C1=CC=C(C=C1)C(C(=O)O)O
1345,CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl
1346,COC1=CC=CC=C1N2CCNCC2
1355,C1CN(CCN1)C2=CC(=CC=C2)Cl
1369,C1=CC=C(C=C1)NC2=CC=CC3=C2C(=CC=C3)S(=O)(=O)O
1455,COC1=CC(=C(C=C1)OCC2=CC=C(C=C2)COC3=C(C=CC=C3Cl)Cl)Cl
1483,C1=C(C=C(C(=C1Br)O)Br)Br
1486,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O
1493,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O
1530,CN1C2=C(N=CC(=C2)C3=CC=CC=C3)N=C1N
1567,C(CS)O
1576,CC(C(=O)C1=CC=CC=C1)NC
1593,CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
1614,CC(CC1=CC2=C(C=C1)OCO2)N
1615,CC(CC1=CC2=C(C=C1)OCO2)NC
1645,C1=CC(=CC(=C1)N)C(=O)N
1646,C(CN)CS(=O)(=O)O
1647,C(CN)C#N
1662,CC(CC(=O)O)(CC(=O)O)O
1669,COC1=C(C=CC(=C1)CCN)O
1670,COC1=C(C=CC(=C1)CC(C(=O)O)N)O
1674,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1
1676,CCCN1C2=C(C(=O)NC1=O)NC=N2
1678,C(C[N+](=O)[O-])C(=O)O
1684,CC1=CC(=CC(=C1OCCCC2=CC(=NO2)C)C)C3=NOC(=N3)C(F)(F)F
1691,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
1715,COC1=CC2=C(C=C1)SCCN(C2)C(=O)CCN3CCC(CC3)CC4=CC=CC=C4
1727,C1=CN=CC=C1N
1732,CC1=C(C=CC(=C1)O)Cl
1738,COC1=C(C=CC(=C1)CC(=O)O)O
1775,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
1783,CC(C)C1=C(N(C(=N1)COC(=O)N)CC2=CC=NC=C2)SC3=CC(=CC(=C3)Cl)Cl
1794,C1CCCN(CC1)C2=NC(=C(N=C2Cl)C(=O)N=C(N)N)N
